modality,load_nm,model,accuracy,precision,recall,f1,tn,fp,fn,tp,roc_auc,avg_precision
ct,0,IsolationForest,0.5123456790123457,1.0,0.4015151515151515,0.572972972972973,60.0,0.0,158.0,106.0,0.8483585858585859,0.9668616055650975
ct,0,SGD_Logistic,0.7469135802469136,0.8013245033112583,0.9166666666666666,0.8551236749116607,0.0,60.0,22.0,242.0,0.9090909090909091,0.982536882627405
vib,0,IsolationForest,0.6141975308641975,0.9664429530201343,0.5454545454545454,0.6973365617433414,55.0,5.0,120.0,144.0,0.5520833333333333,0.8964990594656628
vib,0,SGD_Logistic,1.0,1.0,1.0,1.0,60.0,0.0,0.0,264.0,1.0,0.9999999999999999
ctvib,0,SGD_Fused,0.8117283950617284,0.8372093023255814,0.9545454545454546,0.8920353982300885,11.0,49.0,12.0,252.0,0.9287878787878789,0.9858794095968717
ct,2,IsolationForest,0.39285714285714285,0.828125,0.3680555555555556,0.5096153846153846,13.0,11.0,91.0,53.0,0.3732638888888889,0.8655246960006221
ct,2,SGD_Logistic,0.9166666666666666,0.9850746268656716,0.9166666666666666,0.9496402877697842,22.0,2.0,12.0,132.0,0.9166666666666666,0.9876867489777453
vib,2,IsolationForest,0.6011904761904762,0.963855421686747,0.5555555555555556,0.7048458149779736,21.0,3.0,64.0,80.0,0.6721643518518519,0.9415177153936598
vib,2,SGD_Logistic,1.0,1.0,1.0,1.0,24.0,0.0,0.0,144.0,1.0,1.0
ctvib,2,SGD_Fused,1.0,1.0,1.0,1.0,24.0,0.0,0.0,144.0,1.0,1.0
ct,4,IsolationForest,0.8125,0.9772727272727273,0.8143939393939394,0.8884297520661157,19.0,5.0,49.0,215.0,0.8314393939393939,0.9845507774791453
ct,4,SGD_Logistic,0.9166666666666666,0.9166666666666666,1.0,0.9565217391304348,0.0,24.0,0.0,264.0,1.0,1.0
vib,4,IsolationForest,0.4305555555555556,0.9032258064516129,0.42424242424242425,0.5773195876288659,12.0,12.0,152.0,112.0,0.4286616161616162,0.9312144561423676
vib,4,SGD_Logistic,0.5833333333333334,1.0,0.5454545454545454,0.7058823529411765,24.0,0.0,120.0,144.0,0.7790404040404041,0.9781055139584983
ctvib,4,SGD_Fused,0.9166666666666666,0.9166666666666666,1.0,0.9565217391304348,0.0,24.0,0.0,264.0,1.0,1.0
